"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1977","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Australia","Senate","9.380000000000001"
"Austria","Federal Council","20"
"Bahamas","Senate","18.75"
"Barbados","Senate","14.29"
"Belgium","Senate","6.63"
"Brazil","Federal Senate","0"
"Canada","Senate","6.25"
"Colombia","Senate","0.89"
"Dominican Republic","Senate","11.11"
"France","Senate","1.69"
"Grenada","Senate","7.69"
"India","Council of States","9.84"
"Ireland","Senate","10"
"Italy","Senate","3.42"
"Jamaica","Senate","14.29"
"Japan","House of Councillors","6.4"
"Malaysia","Senate","9.26"
"Mexico","Senate","6.25"
"Netherlands","Senate","8"
"Pakistan","Senate","4.76"
"Paraguay","Senate","3.33"
"Philippines","Senate","12.5"
"South Africa","National Council of Provinces","3.64"
"Spain","Senate","2.42"
"Switzerland","Council of States","0"
"Trinidad and Tobago","Senate","16.13"
"United States of America","Senate","0"
