"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Current number of members","",""
"Reference year: 1977","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Current number of members"
"Australia","Senate","64"
"Austria","Federal Council","55"
"Bahamas","Senate","16"
"Barbados","Senate","21"
"Belgium","Senate","181"
"Brazil","Federal Senate","66"
"Canada","Senate","96"
"Colombia","Senate","112"
"Dominican Republic","Senate","27"
"France","Senate","295"
"Grenada","Senate","13"
"India","Council of States","244"
"Ireland","Senate","60"
"Italy","Senate","322"
"Jamaica","Senate","21"
"Japan","House of Councillors","250"
"Malaysia","Senate","54"
"Mexico","Senate","64"
"Netherlands","Senate","75"
"Pakistan","Senate","63"
"Paraguay","Senate","30"
"Philippines","Senate","8"
"South Africa","National Council of Provinces","55"
"Spain","Senate","248"
"Switzerland","Council of States","44"
"Trinidad and Tobago","Senate","31"
"United States of America","Senate","100"
