"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1993","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Antigua and Barbuda","Senate","11.76"
"Argentina","Senate","8.699999999999999"
"Australia","Senate","21.05"
"Austria","Federal Council","21.67"
"Bahamas","Senate","18.75"
"Barbados","Senate","28.57"
"Belgium","Senate","10.87"
"Belize","Senate","30"
"Bolivia (Plurinational State of)","Chamber of Senators","3.7"
"Brazil","Federal Senate","2.47"
"Canada","Senate","15.38"
"Chile","Senate","6.52"
"Colombia","Senate","8"
"Congo","Senate","1.67"
"Dominican Republic","Senate","0"
"Eswatini","Senat","20"
"France","Senate","4.98"
"Germany","Federal Council","14.71"
"Grenada","Senate","15.38"
"Haiti","Senate","0"
"India","Council of States","6.94"
"Ireland","Senate","13.33"
"Italy","Senate","9.51"
"Jamaica","Senate","14.29"
"Japan","House of Councillors","13.1"
"Jordan","Senate","5"
"Lesotho","Senate","24.24"
"Malaysia","Senate","14.75"
"Mexico","Senate","4.69"
"Nepal","National Assembly","5"
"Netherlands","Senate","26.67"
"Pakistan","Senate","1.15"
"Palau","Senate","0"
"Paraguay","Senate","11.11"
"Philippines","Senate","16.67"
"Poland","Senate","13"
"Romania","Senate","2.1"
"Russian Federation","Council of the Federation","5.11"
"Saint Lucia","Senate","36.36"
"Spain","Senate","12.6"
"Switzerland","Council of States","8.699999999999999"
"Trinidad and Tobago","Senate","22.58"
"United States of America","Senate","7"
"Uruguay","Senate","0"
