"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1999","",""
"Exported on: 2019-12-28","",""
"","",""
"Country","Chamber","Percentage of women"
"Algeria","National People's Assembly","3.16"
"Andorra","General Council","7.14"
"Angola","National Assembly","9.550000000000001"
"Antigua and Barbuda","House of Representatives","5.26"
"Argentina","Chamber of Deputies","26.46"
"Armenia","National Assembly","3.05"
"Australia","House of Representatives","21.62"
"Austria","National Council","26.23"
"Azerbaijan","National Assembly","2"
"Bahamas","House of Assembly","15"
"Bangladesh","Parliament","9.09"
"Barbados","House of Assembly","10.71"
"Belarus","House of Representatives","4.55"
"Belgium","House of Representatives","23.33"
"Belize","House of Representatives","6.9"
"Benin","National Assembly","6.02"
"Bhutan","National Assembly","0"
"Bolivia (Plurinational State of)","Chamber of Deputies","11.54"
"Bosnia and Herzegovina","House of Representatives","28.57"
"Botswana","National Assembly","17.02"
"Brazil","Chamber of Deputies","5.65"
"Bulgaria","National Assembly","10.83"
"Burkina Faso","National Assembly","5.61"
"Burundi","National Assembly","12.35"
"Cabo Verde","National Assembly","11.11"
"Cameroon","National Assembly","5.56"
"Canada","House of Commons","20.6"
"Central African Republic","National Assembly","6.42"
"Chad","National Assembly","2.4"
"Chile","Chamber of Deputies","10.83"
"China","National People's Congress","21.82"
"Colombia","House of Representatives","11.8"
"Comoros","Assembly of the Union","0"
"Costa Rica","Legislative Assembly","19.3"
"Côte d'Ivoire","National Assembly","8"
"Croatia","Croatian Parliament","14.93"
"Cuba","National Assembly of the People's Power","27.62"
"Cyprus","House of Representatives","5.36"
"Czech Republic","Chamber of Deputies","15"
"Democratic People's Republic of Korea","Supreme People's Assembly","20.09"
"Democratic Republic of the Congo","National Assembly","5.01"
"Denmark","The Danish Parliament","37.43"
"Djibouti","National Assembly","0"
"Dominica","House of Assembly","9.380000000000001"
"Dominican Republic","Chamber of Deputies","16.11"
"Ecuador","National Assembly","17.36"
"Egypt","House of Representatives","1.98"
"El Salvador","Legislative Assembly","15.48"
"Equatorial Guinea","Chamber of Deputies","5"
"Eritrea","National Assembly","20.95"
"Estonia","The Estonian Parliament","17.82"
"Eswatini","House of Assembly","3.08"
"Ethiopia","House of Peoples' Representatives","2.01"
"Fiji","Parliament","25"
"Finland","Parliament","37"
"France","National Assembly","10.92"
"Gabon","National Assembly","8.33"
"Gambia (The)","National Assembly","2.04"
"Georgia","Parliament","7.23"
"Germany","German Bundestag","30.94"
"Ghana","Parliament","9"
"Greece","Hellenic Parliament","6.33"
"Grenada","House of Representatives","26.67"
"Guatemala","Congress of the Republic","7.08"
"Guinea","National Assembly","7.02"
"Guinea-Bissau","People's National Assembly","7.84"
"Guyana","Parliament of the Co-operative Republic of Guyana","18.46"
"Haiti","Chamber of Deputies","3.75"
"Honduras","National Congress","9.380000000000001"
"Hungary","National Assembly","8.289999999999999"
"Iceland","Parliament","34.92"
"India","House of the People","8.44"
"Indonesia","House of Representatives","8"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","4.03"
"Iraq","Council of Representatives of Iraq","6.4"
"Ireland","House of Representatives","12.05"
"Israel","Parliament","11.67"
"Italy","Chamber of Deputies","11.11"
"Jamaica","House of Representatives","12.07"
"Japan","House of Representatives","4.6"
"Jordan","House of Representatives","0"
"Kazakhstan","House of Representatives","10.39"
"Kenya","National Assembly","2.68"
"Kiribati","House of Assembly","4.76"
"Kuwait","National Assembly","0"
"Kyrgyzstan","Supreme Council","4.76"
"Lao People's Democratic Republic","National Assembly","21.21"
"Latvia","Parliament","17"
"Lebanon","National Assembly","2.34"
"Lesotho","National Assembly","3.75"
"Liberia","House of Representatives","7.81"
"Liechtenstein","Diet","4"
"Lithuania","Parliament","18.25"
"Luxembourg","Chamber of Deputies","16.67"
"Madagascar","National Assembly","8"
"Malawi","National Assembly","8.25"
"Malaysia","House of Representatives","7.25"
"Maldives","People's Majlis","6"
"Mali","National Assembly","12.24"
