"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Current number of members","",""
"Reference year: 1959","",""
"Exported on: 2019-12-29","",""
"","",""
"Country","Chamber","Current number of members"
"Albania","Parliament","187"
"Argentina","Chamber of Deputies","184"
"Australia","House of Representatives","124"
"Austria","National Council","165"
"Belgium","House of Representatives","212"
"Bhutan","National Assembly","150"
"Bolivia (Plurinational State of)","Chamber of Deputies","56"
"Brazil","Chamber of Deputies","326"
"Bulgaria","National Assembly","254"
"Cambodia","National Assembly","61"
"Canada","House of Commons","265"
"Chile","Chamber of Deputies","147"
"China","National People's Congress","1226"
"Colombia","House of Representatives","148"
"Congo","National Assembly","58"
"Costa Rica","Legislative Assembly","45"
"Democratic People's Republic of Korea","Supreme People's Assembly","215"
"Denmark","The Danish Parliament","179"
"Dominican Republic","Chamber of Deputies","58"
"Ecuador","National Assembly","73"
"Egypt","House of Representatives","350"
"Ethiopia","House of Peoples' Representatives","210"
"Finland","Parliament","200"
"France","National Assembly","586"
"Greece","Hellenic Parliament","300"
"Guatemala","Congress of the Republic","66"
"Haiti","Chamber of Deputies","37"
"Honduras","National Congress","58"
"Hungary","National Assembly","338"
"Iceland","Parliament","52"
"India","House of the People","493"
"Indonesia","House of Representatives","259"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","135"
"Ireland","House of Representatives","147"
"Israel","Parliament","120"
"Italy","Chamber of Deputies","596"
"Japan","House of Representatives","467"
"Jordan","House of Representatives","40"
"Lao People's Democratic Republic","National Assembly","39"
"Lebanon","National Assembly","66"
"Libya","House of Representatives","55"
"Luxembourg","Chamber of Deputies","52"
"Malaysia","House of Representatives","104"
"Mexico","Chamber of Deputies","162"
"Mongolia","State Great Hural","233"
"Nepal","House of Representatives","109"
"Netherlands","House of Representatives","150"
"New Zealand","House of Representatives","80"
"Nicaragua","National Assembly","42"
"Niger","National Assembly","60"
"Norway","Parliament","150"
"Panama","National Assembly","53"
"Paraguay","Chamber of Deputies","60"
"Peru","Congress of the Republic","182"
"Philippines","House of Representatives","103"
"Poland","Sejm","459"
"Portugal","Assembly of the Republic","120"
"Republic of Korea","National Assembly","233"
"Romania","Chamber of Deputies","437"
"San Marino","Great and General Council","60"
"South Africa","National Assembly","163"
"Spain","Congress of Deputies","685"
"Sri Lanka","Parliament","101"
"Sweden","Parliament","230"
"Syrian Arab Republic","People's Assembly","81"
"Tunisia","Assembly of People's Representatives","90"
"Turkey","Grand National Assembly of Turkey","602"
"United Kingdom","House of Commons","630"
"United States of America","House of Representatives","440"
"Uruguay","House of Representatives","99"
"Venezuela (Bolivarian Republic of)","National Assembly","133"
