"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Current number of members","",""
"Reference year: 1947","",""
"Exported on: 2019-12-29","",""
"","",""
"Country","Chamber","Current number of members"
"Albania","Parliament","82"
"Argentina","Chamber of Deputies","158"
"Australia","House of Representatives","75"
"Austria","National Council","165"
"Belgium","House of Representatives","202"
"Brazil","Chamber of Deputies","286"
"Bulgaria","National Assembly","465"
"Canada","House of Commons","245"
"Chile","Chamber of Deputies","146"
"Colombia","House of Representatives","131"
"Denmark","The Danish Parliament","150"
"Dominican Republic","Chamber of Deputies","38"
"Finland","Parliament","200"
"France","National Assembly","618"
"Greece","Hellenic Parliament","354"
"Haiti","Chamber of Deputies","37"
"Hungary","National Assembly","411"
"Iceland","Parliament","52"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","136"
"Japan","House of Representatives","466"
"Jordan","House of Representatives","20"
"Lebanon","National Assembly","77"
"Luxembourg","Chamber of Deputies","51"
"Netherlands","House of Representatives","100"
"New Zealand","House of Representatives","80"
"Norway","Parliament","150"
"Panama","National Assembly","50"
"Peru","Congress of the Republic","149"
"Philippines","House of Representatives","99"
"Poland","Sejm","444"
"Portugal","Assembly of the Republic","120"
"Romania","Chamber of Deputies","414"
"San Marino","Great and General Council","60"
"South Africa","National Assembly","153"
"Spain","Congress of Deputies","581"
"Sri Lanka","Parliament","101"
"Syrian Arab Republic","People's Assembly","114"
"Thailand","House of Representatives","178"
"Turkey","Grand National Assembly of Turkey","497"
"United Kingdom","House of Commons","640"
"United States of America","House of Representatives","440"
"Uruguay","House of Representatives","99"
