"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1957","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Australia","Senate","8.33"
"Austria","Federal Council","12.5"
"Belgium","Senate","3.43"
"Bolivia (Plurinational State of)","Chamber of Senators","0"
"Brazil","Federal Senate","0"
"Cambodia","Senate","0"
"Canada","Senate","5.32"
"Chile","Senate","0"
"Colombia","Senate","0"
"Dominican Republic","Senate","13.04"
"Ethiopia","House of the Federation","0"
"France","Senate","2.82"
"Haiti","Senate","0"
"India","Council of States","8.619999999999999"
"Ireland","Senate","6.67"
"Italy","Senate","0.41"
"Japan","House of Councillors","6"
"Jordan","Senate","0"
"Netherlands","Senate","5.33"
"Philippines","Senate","0"
"South Africa","National Council of Provinces","1.12"
"United States of America","Senate","1"
"Uruguay","Senate","0"
