"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1966","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of Elders","0"
"Australia","Senate","6.67"
"Austria","Federal Council","11.76"
"Barbados","Senate","9.52"
"Belgium","Senate","1.12"
"Bolivia (Plurinational State of)","Chamber of Senators","0"
"Brazil","Federal Senate","0"
"Cambodia","Senate","0"
"Canada","Senate","4.21"
"Chile","Senate","4.44"
"Colombia","Senate","3.77"
"Dominican Republic","Senate","3.7"
"Ethiopia","House of the Federation","0"
"France","Senate","1.82"
"India","Council of States","9.66"
"Ireland","Senate","6.67"
"Italy","Senate","1.87"
"Japan","House of Councillors","6.83"
"Jordan","Senate","0"
"Lesotho","Senate","9.09"
"Madagascar","Senate","1.96"
"Malaysia","Senate","3.45"
"Mexico","Senate","3.33"
"Netherlands","Senate","5.33"
"Philippines","Senate","12.5"
"South Africa","National Council of Provinces","3.64"
"Trinidad and Tobago","Senate","16.67"
"United States of America","Senate","2"
"Uruguay","Senate","0"
